WKT,name,description
POINT (102.353555 -0.648025),T.443,T.443 AA+6
POINT (102.350454 -0.647281),T.444,T.444 AA+3
POINT (102.34793 -0.646675),T.445,T.445 AA+15
POINT (102.344658 -0.645889),T.446,T.446 AA+0
POINT (102.341182 -0.645055),T.447,T.447 BB+0
POINT (102.337442 -0.644157),T.448,T.448 AA+12
POINT (102.333976 -0.643325),T.449,T.449 AA+6
POINT (102.330484 -0.642487),T.450,T.450 AA+6
POINT (102.326159 -0.641448),T.451,T.451 AA+6
POINT (102.321997 -0.640449),T.452,T.452 AA+12
POINT (102.318178 -0.639532),T.453,T.453 AA+0
POINT (102.31438 -0.638621),T.454,T.454 AA+0
POINT (102.311206 -0.637863),T.455,T.455 AA+0
POINT (102.30751 -0.636972),T.456,T.456 AA+0
POINT (102.303805 -0.636082),T.457,T.457 AA+9
POINT (102.299615 -0.635076),T.458,T.458 BB+9
POINT (102.296104 -0.634233),T.459,T.459 AA+6
POINT (102.29246 -0.63335),T.460,T.460 AA+6
POINT (102.288541 -0.632399),T.461,T.461 AA+9
POINT (102.284633 -0.631452),T.462,T.462 CC+6
POINT (102.281537 -0.629642),T.463,T.463 AA+6
POINT (102.278094 -0.627595),T.464,T.464 AA+12
POINT (102.274308 -0.625343),T.465,T.465 AA+12
POINT (102.270901 -0.623318),T.466,T.466 CC+9
POINT (102.266998 -0.622136),T.467,T.467 AA+12
POINT (102.263085 -0.620956),T.468,T.468 AA+9
POINT (102.259342 -0.619827),T.469,T.469 AA+9
POINT (102.255467 -0.618659),T.470,T.470 AA+12
POINT (102.251599 -0.617493),T.471,T.471 AA+9
POINT (102.247732 -0.616327),T.472,T.472 AA+9
